"Table 1.12 Factors affecting occupational utilization, projected 2019–29",,,,
Occupation Title,Occupation Code,Industry Title,Industry Code,Factors affecting occupational utilization
Industrial engineers,17–2112,"Fabricated metal product manufacturing (3321,2,5,6,9)",3320A1,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,Metalworking machinery manufacturing,333500,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,"Engine, turbine, and power transmission equipment manufacturing",333600,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,"Machinery manufacturing (3331,2,4,9)",3330A1,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,Communications equipment manufacturing,334200,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,Semiconductor and other electronic component manufacturing,334400,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,"Navigational, measuring, electromedical, and control instruments manufacturing",334500,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,Electrical equipment manufacturing,335300,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,Motor vehicle manufacturing,336100,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,Motor vehicle parts manufacturing,336300,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,Aerospace product and parts manufacturing,336400,"Demand change – share increases as these engineers are needed to construct supply chains that enable firms to procure components from multiple sources, either abroad or domestic, and to provide expertise in building automated factories."
Industrial engineers,17–2112,Medical equipment and supplies manufacturing,339100,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
Industrial engineers,17–2112,Engineering services,541330,"Demand change – share increases as this occupation provides expertise with respect to automation, constructing supply chains, and 3–D printing."
Marine engineers and naval architects,17–2121,Ship and boat building,336600,"Demand change – share increases as ships and ports in the U.S. continue to come under pressure to meet international standards on the reduction in air pollution from ships, especially when they are docked at ports."
Marine engineers and naval architects,17–2121,Engineering services,541330,Demand change – share increases as this occupation provides expertise in construction of offshore wind platforms.
Mechanical engineers,17–2141,Metalworking machinery manufacturing,333500,"Sourcing change – share increases as the growing use of automation, sensors, and robots in industrial production will lead to greater adoption of automation to reduce labor costs."
Mechanical engineers,17–2141,"Machinery manufacturing (3331,2,4,9)",3330A1,"Sourcing change – share increases as the growing use of automation, sensors, and robots in industrial production will lead to greater adoption of automation to reduce labor costs."
Mechanical engineers,17–2141,Motor vehicle parts manufacturing,336300,"Sourcing change – share increases as the growing use of automation, sensors, and robots in industrial uses will lead to the adoption of automation for reducing labor costs."
"Mining and geological engineers, including mining safety engineers",17–2151,Oil and gas extraction,211000,"Sourcing change – share decreases as mining firms reduce costs by contracting out exploration, design, and production activities."
"Mining and geological engineers, including mining safety engineers",17–2151,Coal mining,212100,"Sourcing change – share decreases as mining firms reduce costs by contracting out exploration, design, and production activities."
"Mining and geological engineers, including mining safety engineers",17–2151,Metal ore mining,212200,"Sourcing change – share decreases as mining firms reduce costs by contracting out exploration, design, and production activities."
Architectural and civil drafters,17–3011,Engineering services,541330,Occupational substitution – share decreases as professionals such as architects take on more of the design activities once provided by drafters. 
Mechanical drafters,17–3013,Total employment,TE1000,Occupational substitution – share decreases as technology makes design process more efficient and allows mechanical engineers to perform design tasks once done only by drafters. 
Aerospace engineering and operations technologists and technicians,17–3021,"Navigational, measuring, electromedical, and control instruments manufacturing",334500,Demand change – share increases as new aerospace products such as small satellites and drones require testing to comply with FAA regulations.
Aerospace engineering and operations technologists and technicians,17–3021,Engineering services,541330,Demand change – share increases as new aerospace products such as small satellites and drones require testing to comply with FAA regulations.
Physicists,19–2012,"Research and development in the physical, engineering, and life sciences",541710,"Demand change – share increases as this occupation is increasingly tapped to put into development many new applications due to breakthroughs in graphene, such as desalinization and battery storage."
Chemists,19–2031,"Chemical manufacturing (3251,2,3,9)",3250A1,Demand change – share increases as chemists are tasked with increasing safety of workplaces and of surrounding communities through implementation of green chemistry. Share will also increase as more chemists are needed to help implement new findings coming out of research and development. 
Chemists,19–2031,"Research and development in the physical, engineering, and life sciences",541710,Demand change – share decreases as federal funding for research and development is expected to continue to decline.
Chemists,19–2031,Pharmaceutical and medicine manufacturing,325400,Demand change – share increases as chemists are employed to explore findings in nanotechnology for medical purposes.
Economists,19–3011,Research and development in the social sciences and humanities,541720,"Demand change – share increases as companies increasingly turn to economists to apply analysis of “big data“ to pricing, advertising, and other business areas."
Survey researchers,19–3022,Total employment,TE1000,Productivity change – share decreases as data collection increasingly occurs via mobile technologies and automated techniques.
Urban and regional planners,19–3051,Total employment,TE1000,Demand change – share increases as demand for improved transportation flow leads to increased transportation spending requiring more urban and regional planners.
Political scientists,19–3094,Total employment,TE1000,"Demand change – share increases as government agencies and social science organizations increasingly seek public policy research, analysis, and expertise."
Forensic science technicians,19–4092,"State government, excluding education and hospitals",999200,Demand change – share increases as case loads increase and DNA evidence becomes more common.
Forensic science technicians,19–4092,"Local government, excluding education and hospitals",999300,Demand change – share increases as case loads increase and DNA evidence becomes more common.
"Educational, guidance, and career counselors and advisors",21–1012,"Colleges, universities, and professional schools; private",611305,Demand change – share increases as more departments add career counselors to help students get jobs. 
"Educational, guidance, and career counselors and advisors",21–1012,"Colleges, universities, and professional schools; state",611302,Demand change – share increases as more departments add career counselors to help students get jobs. 
"Substance abuse, behavioral disorder, and mental health counselors",21–1018,Offices of mental health practitioners (except physicians),621330,"Demand change – share increases as demand rises for treatment of patients with mental and behavioral issues, including opioid addiction."
"Directors, religious activities and education",21–2021,Elementary and secondary schools; local,611103,Demand change – share increases as more families are able to choose religious based schools. 
Lawyers,23–1011,Total employment,TE1000,Sourcing change – share increases as companies insource their legal needs from outside law firms to their own in-house legal departments as a way to cut down on costs.
Paralegals and legal assistants,23–2011,Total employment,TE1000,"Sourcing change, occupational substitution – share increases as companies increasingly insource their legal needs from outside law firms to their own in-house legal departments as a way to cut down on costs. In addition, paralegals will take on more of the tasks previously assigned to legal secretaries and entry-level attorneys."
Paralegals and legal assistants,23–2011,Legal services,541100,Occupational substitution – share increases as paralegals increasingly take on the duties previously assigned to legal secretaries and some entry-level attorneys.
"Title examiners, abstractors, and searchers",23–2093,Legal services,541100,"Sourcing change – share decreases as law firms outsource an increasing amount of back office, administrative, and non-lawyer functions as a way to streamline operations and lower costs for clients."
"Legal support workers, all other",23–2099,Legal services,541100,"Sourcing change – share decreases as law firms outsource an increasing amount of back office, administrative, and non-lawyer functions as a way to streamline operations and lower costs for clients."
"Business teachers, postsecondary",25–1011,"Colleges, universities, and professional schools; private",611305,Demand change – share increases as demand for business degrees is expected to increase. 
"Business teachers, postsecondary",25–1011,"Colleges, universities, and professional schools; state",611302,Demand change – share increases as demand for business degrees is expected to increase. 
"Engineering teachers, postsecondary",25–1032,Total employment,TE1000,Demand change – share increases as demand for engineering degrees is expected to increase. 
"Biological science teachers, postsecondary",25–1042,Total employment,TE1000,Demand change – share increases as demand for biology degrees is expected to increase. 
"Psychology teachers, postsecondary",25–1066,"Colleges, universities, and professional schools; private",611305,Demand change – share increases as demand for psychology degrees is expected to increase. 
"Psychology teachers, postsecondary",25–1066,"Colleges, universities, and professional schools; state",611302,Demand change – share increases as demand for psychology degrees is expected to increase. 
"Health specialties teachers, postsecondary",25–1071,Total employment,TE1000,Demand change – share increases as demand for health specialty degrees is expected to increase. 
"Nursing instructors and teachers, postsecondary",25–1072,Total employment,TE1000,Demand change – share increases as demand for nursing degrees is expected to increase. 
"Criminal justice and law enforcement teachers, postsecondary",25–1111,Total employment,TE1000,Demand change – share increases as demand for criminal justice degrees is expected to increase. 
"Adult basic education, adult secondary education, and English as a Second Language instructors",25–3011,Total employment,TE1000,"Demand change – share decreases as enrollment rates in ABE and ESL classes are expected to decline due to rising high school graduation rates, which will reduce the need for these types of teachers. "
Library technicians,25–4031,Other information services,519000,Demand change – share decreases as library usage declines. 
Library technicians,25–4031,Elementary and secondary schools; local,611103,Demand change – share decreases as library usage declines. 
Library technicians,25–4031,Junior colleges; state,611202,Demand change – share decreases as library usage declines. 
Library technicians,25–4031,Junior colleges; local,611203,Demand change – share decreases as library usage declines. 
Library technicians,25–4031,"Colleges, universities, and professional schools; private",611305,Demand change – share decreases as library usage declines. 
Library technicians,25–4031,"Colleges, universities, and professional schools; state",611302,Demand change – share decreases as library usage declines. 
Library technicians,25–4031,"Local government, excluding education and hospitals",999300,Demand change – share decreases as library usage declines. 
Farm and home management educators,25–9021,Total employment,TE1000,"Demand change – share decreases as continued industry consolidation in agriculture reduces the number of farmers, and by extension the needed number of farm and home management advisors."
Special effects artists and animators,27–1014,Television broadcasting,515120,"Productivity change – share decreases as local television broadcast affiliates consolidate and share staff in order to reduce operating costs. Using shared staff, including artists and animators, to produce news reports for two stations will require fewer of them as they are more productive. "
Producers and directors,27–2012,Sound recording industries,512200,"Productivity change – share increases as advances in technology allow for more, smaller studios. As a studio must, at minimum, have one producer, their share will grow faster than that of other occupations in the industry. "
Producers and directors,27–2012,"Advertising, public relations, and related services",541800,"Demand change – share increases as more filmed content leads to additional commercials and advertising, particularly online video ads, which also need to be produced and directed. "
Music directors and composers,27–2041,Elementary and secondary schools; private,611105,"Demand change – share decreases as private schools face declines in enrollment and tuition, forcing cuts for arts education, including music programs. "
Music directors and composers,27–2041,Elementary and secondary schools; local,611103,"Demand change – share decreases as public school systems are cutting funding for arts education, including music programs. "
Broadcast announcers and radio disc jockeys,27–3011,Radio broadcasting,515110,Demand change – share decreases as demand for announcers and on-air talent is decreasing as many radio stations are consolidating locations or opting for a DJ-free format. 
Interpreters and translators,27–3091,Total employment,TE1000,Demand change – share increases as many businesses increasingly need translation services as the United States population becomes more globalized and diverse. 
Audio and video technicians,27–4011,Total employment,TE1000,"Demand change – share increases as the need to install, maintain, and repair new equipment, such as video conferencing, grows throughout all industries. "
"Camera operators, television, video, and film",27–4031,Television broadcasting,515120,Demand change – share increases as more video content (including nonfiction) requires filming before it is distributed. 
"Camera operators, television, video, and film",27–4031,Cable and other subscription programming,515200,Demand change – share increases as more video content (including nonfiction) requires filming before it is distributed. 
Film and video editors,27–4032,Total employment,TE1000,Demand change – share increases as more video content (including nonfiction and advertising) requires editing before it is distributed. 
Film and video editors,27–4032,Television broadcasting,515120,Demand change – share increases as more video content (including nonfiction and advertising) requires editing before it is distributed. 
Dietitians and nutritionists,29–1031,Grocery and specialty food stores,4450A1,Demand change – share increases as more grocery stores hire dietitians to attract customers and to differentiate their stores from competitors. Dietitians will be increasingly needed in grocery stores to help consumers select healthy food choices for purchase. 
Pharmacists,29–1051,Grocery and specialty food stores,4450A1,"Occupational substitution – share decreases as pharmacy technicians expand their role, taking on some of the work of pharmacists. Changes in pharmacist-to-technician ratios in various states may also contribute to a decline in share. "
Pharmacists,29–1051,Pharmacies and drug stores,446110,"Occupational substitution – share decreases as pharmacy technicians expand their role, taking on some of the work of pharmacists. Changes in pharmacist-to-technician ratios in various states may also contribute to a decline in share."
Physician assistants,29–1071,Offices of physicians,621100,Occupational substitution – share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. 
Physician assistants,29–1071,General medical and surgical hospitals; private,622105,"Occupational substitution – share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. Also, advances in technologies will slow the growth of other administrative and support occupations relative to all professional healthcare providers. "
Physician assistants,29–1071,General medical and surgical hospitals; state,622102,"Occupational substitution – share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. Also, advances in technologies will slow the growth of other administrative and support occupations relative to all professional healthcare providers. "
Physician assistants,29–1071,General medical and surgical hospitals; local,622103,"Occupational substitution – share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. Also, advances in technologies will slow the growth of other administrative and support occupations relative to all professional healthcare providers. "
Podiatrists,29–1081,Offices of all other health practitioners,621390,Occupational substitution – share decreases as team-care models grow in popularity. 
Recreational therapists,29–1125,General medical and surgical hospitals; private,622105,Occupational substitution – share decreases as general medical hospitals employ other therapy providers in place of recreational therapists. 
Recreational therapists,29–1125,General medical and surgical hospitals; state,622102,Occupational substitution – share decreases as general medical hospitals employ other therapy providers in place of recreational therapists. 
Recreational therapists,29–1125,General medical and surgical hospitals; local,622103,Occupational substitution – share decreases as general medical hospitals employ other therapy providers in place of recreational therapists. 
Respiratory therapists,29–1126,Offices of physicians,621100,Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models and delegate therapeutic duties and care tasks from physicians to specialized therapists and care givers. 
Respiratory therapists,29–1126,General medical and surgical hospitals; private,622105,"Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models, and delegate therapeutic duties and care tasks from physicians to specialized therapists and care givers. "
Respiratory therapists,29–1126,General medical and surgical hospitals; state,622102,"Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models, and delegate therapeutic duties and care tasks from physicians to specialized therapists and care givers. "
Respiratory therapists,29–1126,General medical and surgical hospitals; local,622103,"Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models, and delegate therapeutic duties and care tasks from physicians to specialized therapists and care givers. "
